transaction_id,account_id,transaction_type,channel,merchant_category,description,currency_code,transaction_date,transaction_amount,post_date
H000000001,A00000004,PMT,MOBILE,5411,PMT ACH REF697904,USD,2023-11-02,1449.57,2023-11-02
H000000002,A00000005,PMT,POS,5541,PMT ATM REF496557,USD,2023-11-02,209.68,2023-11-02
H000000003,A00000015,DEP,WIRE,5411,DEP ATM REF245309,USD,2023-11-02,136.78,2023-11-03
H000000004,A00000015,DEP,BRANCH,5541,DEP ACH REF229825,USD,2023-11-02,215.13,2023-11-02
H000000005,A00000017,FEE,WIRE,5912,FEE ONLINE REF561521,USD,2023-11-02,35,2023-11-02
H000000006,A00000017,WDR,ONLINE,5411,WDR ATM REF381475,USD,2023-11-02,127.47,2023-11-02
H000000007,A00000020,INT,POS,5411,INT MOBILE REF386767,USD,2023-11-02,4.13,2023-11-02
H000000008,A00000020,WDR,WIRE,5812,WDR MOBILE REF819932,USD,2023-11-02,637.58,2023-11-02
H000000009,A00000022,INT,POS,5541,INT MOBILE REF656317,USD,2023-11-02,102.97,2023-11-02
H000000010,A00000022,FEE,ONLINE,5912,FEE POS REF623117,USD,2023-11-02,25,2023-11-03
H000000011,A00000028,INT,BRANCH,5912,INT BRANCH REF911496,USD,2023-11-02,238.6,2023-11-02
H000000012,A00000031,REV,ATM,5541,REV POS REF759130,USD,2023-11-02,3.56,2023-11-02
H000000013,A00000032,WDR,ATM,0000,WDR ATM REF892213,USD,2023-11-02,229.18,2023-11-02
H000000014,A00000032,WDR,ACH,5541,WDR ONLINE REF109267,USD,2023-11-02,312.58,2023-11-02
H000000015,A00000033,INT,MOBILE,5812,INT WIRE REF918555,USD,2023-11-02,183.98,2023-11-02
H000000016,A00000033,INT,BRANCH,5812,INT POS REF266021,USD,2023-11-02,239.77,2023-11-02
H000000017,A00000033,FEE,MOBILE,5912,FEE MOBILE REF658191,USD,2023-11-02,9.95,2023-11-02
H000000018,A00000034,TRF,MOBILE,7011,TRF BRANCH REF427476,USD,2023-11-02,-2304.19,2023-11-02
H000000019,A00000037,TRF,WIRE,5541,TRF POS REF194615,USD,2023-11-02,32.14,2023-11-02
H000000020,A00000039,WDR,WIRE,6011,WDR POS REF180620,USD,2023-11-02,183.13,2023-11-02
H000000021,A00000039,WDR,WIRE,5411,WDR ATM REF203777,USD,2023-11-02,198.06,2023-11-02
H000000022,A00000047,CHG,WIRE,5411,CHG ONLINE REF157763,USD,2023-11-02,9.95,2023-11-02
H000000023,A00000047,INT,WIRE,7011,INT ATM REF143478,USD,2023-11-02,150.61,2023-11-02
H000000024,A00000047,PMT,POS,5912,PMT ACH REF440061,USD,2023-11-02,556.52,2023-11-02
H000000025,A00000052,CHG,ATM,6011,CHG POS REF465083,USD,2023-11-02,3,2023-11-02
H000000026,A00000054,CHG,ACH,5812,CHG BRANCH REF730470,USD,2023-11-02,3,2023-11-02
H000000027,A00000054,FEE,MOBILE,4900,FEE ATM REF913287,USD,2023-11-02,9.95,2023-11-03
H000000028,A00000055,CHG,ATM,5541,CHG POS REF409024,USD,2023-11-02,35,2023-11-02
H000000029,A00000060,INT,WIRE,5812,INT ACH REF576813,USD,2023-11-02,64.2,2023-11-02
H000000030,A00000060,WDR,BRANCH,5541,WDR POS REF440802,USD,2023-11-02,564.21,2023-11-02
H000000031,A00000062,WDR,MOBILE,4900,WDR BRANCH REF311164,USD,2023-11-02,106.61,2023-11-02
H000000032,A00000065,WDR,BRANCH,5912,WDR ONLINE REF868059,USD,2023-11-02,90.58,2023-11-03
H000000033,A00000065,WDR,ATM,4900,WDR MOBILE REF860455,USD,2023-11-02,52.83,2023-11-02
H000000034,A00000065,WDR,WIRE,5912,WDR WIRE REF347489,USD,2023-11-02,97.79,2023-11-02
H000000035,A00000071,PMT,ONLINE,6011,PMT ATM REF858818,USD,2023-11-02,742.51,2023-11-02
H000000036,A00000076,CHG,ACH,5912,CHG ONLINE REF985697,USD,2023-11-02,35,2023-11-03
H000000037,A00000076,PMT,ATM,5812,PMT ATM REF414269,USD,2023-11-02,2019.32,2023-11-02
H000000038,A00000077,TRF,WIRE,7011,TRF ACH REF793047,USD,2023-11-02,5.26,2023-11-02
H000000039,A00000077,ADJ,POS,4900,ADJ POS REF726196,USD,2023-11-02,-262.14,2023-11-02
H000000040,A00000077,WDR,POS,7011,WDR POS REF640035,USD,2023-11-02,665.37,2023-11-03
H000000041,A00000082,REV,ONLINE,7011,REV ACH REF446492,USD,2023-11-02,20.27,2023-11-02
H000000042,A00000084,CHG,ONLINE,5912,CHG BRANCH REF647360,USD,2023-11-02,25,2023-11-02
H000000043,A00000084,INT,BRANCH,5912,INT POS REF990172,USD,2023-11-02,219.46,2023-11-02
H000000044,A00000089,INT,BRANCH,4900,INT WIRE REF430605,USD,2023-11-02,167.53,2023-11-02
H000000045,A00000089,CHG,ONLINE,5912,CHG MOBILE REF984017,USD,2023-11-02,3,2023-11-02
H000000046,A00000093,WDR,WIRE,7011,WDR ATM REF995633,USD,2023-11-02,21.93,2023-11-02
H000000047,A00000093,DEP,ONLINE,4900,DEP ACH REF977456,USD,2023-11-02,90.16,2023-11-02
H000000048,A00000097,INT,ATM,5541,INT BRANCH REF674918,USD,2023-11-02,26.88,2023-11-02
H000000049,A00000098,WDR,ONLINE,4900,WDR ONLINE REF703667,USD,2023-11-02,29.21,2023-11-02
H000000050,A00000099,CHG,MOBILE,0000,CHG ATM REF692781,USD,2023-11-02,12,2023-11-02
H000000051,A00000105,CHG,BRANCH,5541,CHG ATM REF909937,USD,2023-11-02,9.95,2023-11-02
H000000052,A00000107,FEE,ONLINE,7011,FEE WIRE REF359762,USD,2023-11-02,25,2023-11-02
H000000053,A00000109,PMT,ACH,5411,PMT BRANCH REF111155,USD,2023-11-02,703.69,2023-11-02
H000000054,A00000109,PMT,ACH,7011,PMT POS REF465670,USD,2023-11-02,1139.24,2023-11-02
