report_month,account_type,region_code,delinq_bucket,n_accounts,total_balance,total_past_due
202401,AUTO,MW,Current,3,154114.57,0
202401,AUTO,NE,60-89,1,6199.63,492.97
202401,AUTO,NW,1-29,1,50811.6,2482.11
202401,AUTO,NW,30-59,1,32871.53,805.22
202401,AUTO,NW,Current,4,160381.33,0
202401,AUTO,SE,Current,7,222368.08,0
202401,AUTO,SW,1-29,3,75077.38,4929.92
202401,AUTO,SW,Current,1,16953.65,0
202401,AUTO,W,1-29,1,20766.64,1014.17
202401,AUTO,W,Current,12,429331.41,0
202401,CC,MW,1-29,1,7136.77,513.53
202401,CC,MW,30-59,1,37.88,0.79
202401,CC,MW,90-119,1,4392.62,123.9
202401,CC,MW,Current,16,74137.6,0
202401,CC,NE,1-29,1,5913.77,263.7
202401,CC,NE,180+,1,803.24,47.36
202401,CC,NE,30-59,2,9435.53,284.44
202401,CC,NE,60-89,1,8202.87,628.49
202401,CC,NE,Current,12,60683.69,0
202401,CC,NW,1-29,2,9475.88,295.75
202401,CC,NW,Current,14,37251.2,0
202401,CC,SE,30-59,1,5052.66,393.51
202401,CC,SE,Current,13,43475.87,0
202401,CC,SW,30-59,1,5700.36,172.95
202401,CC,SW,60-89,2,1578.79,51.89
202401,CC,SW,Current,8,56737.93,0
202401,CC,W,30-59,1,3078.9,263.07
202401,CC,W,Current,13,47479.4,0
202401,HELC,MW,Current,2,260411.09,0
202401,HELC,NE,1-29,1,28830.72,1840.66
202401,HELC,NE,Current,3,72293.21,0
202401,HELC,NW,1-29,1,38103.41,2516.83
202401,HELC,NW,60-89,1,53817.32,3514.39
202401,HELC,SW,1-29,2,56679.79,1704.61
202401,HELC,SW,Current,1,135572.14,0
202401,HELC,W,Current,3,161926.11,0
202401,LOC,MW,1-29,1,3152.16,229.12
202401,LOC,MW,Current,2,68972.52,0
202401,LOC,NE,1-29,1,20857.43,961.14
202401,LOC,NE,Current,3,119477.38,0
202401,LOC,NW,60-89,1,37736.53,3197.2
202401,LOC,NW,Current,3,49403.34,0
202401,LOC,SE,Current,3,46887.14,0
202401,LOC,SW,Current,2,3620.37,0
202401,MTG,MW,180+,1,392936.03,26024.07
202401,MTG,MW,Current,4,2047160.81,0
202401,MTG,NE,1-29,1,518416.04,16254.31
202401,MTG,NE,30-59,2,253909.74,19238.82
202401,MTG,NE,Current,4,1040659.42,0
202401,MTG,NW,1-29,1,284649.93,18762.61
202401,MTG,NW,60-89,1,374621.3,8235.61
202401,MTG,NW,Current,13,5164685.42,0
202401,MTG,SE,120-179,1,784004.07,44301.83
202401,MTG,SE,30-59,1,542753.55,34738.77
202401,MTG,SE,Current,7,4623951.6,0
202401,MTG,SW,1-29,1,709489.91,7666.42
202401,MTG,SW,Current,8,3561239.9,0
202401,MTG,W,1-29,3,1187228.84,76438.6
202401,MTG,W,Current,12,4977431.73,0
202401,PERS,MW,1-29,2,15439.32,412.99
202401,PERS,NE,Current,5,143045.37,0
202401,PERS,NW,1-29,1,40812.01,2565.33
202401,PERS,NW,Current,2,67711.71,0
202401,PERS,SE,30-59,1,23084.66,1595.95
202401,PERS,SE,60-89,1,2068.19,158.6
202401,PERS,SE,Current,2,56706.31,0
202401,PERS,SW,1-29,1,29702.1,2670.72
202401,PERS,SW,30-59,2,55136.56,2203.83
202401,PERS,SW,Current,2,84747.46,0
202401,PERS,W,Current,2,46229.2,0
