score_date,account_id,prev_rating,curr_rating,migration_direction,pd,expected_loss
2024-01-31,A00000001,5,4,UPGRADE,0.0690408526,61.623880101
2024-01-31,A00000004,5,3,UPGRADE,0.0219733836,692.23060088
2024-01-31,A00000005,5,3,UPGRADE,0.0195453689,319.61559937
2024-01-31,A00000008,1,4,DOWNGRADE,0.0426704927,36.920270479
2024-01-31,A00000010,1,4,DOWNGRADE,0.039478771,2732.3024028
2024-01-31,A00000011,7,4,UPGRADE,0.0311688846,63.380913873
2024-01-31,A00000012,6,4,UPGRADE,0.0443114486,0
2024-01-31,A00000014,3,4,DOWNGRADE,0.0476079501,119.7770798
2024-01-31,A00000019,1,4,DOWNGRADE,0.0481191794,204.2231875
2024-01-31,A00000021,5,4,UPGRADE,0.0372575974,38.527895192
2024-01-31,A00000023,3,4,DOWNGRADE,0.0349945977,1753.266156
2024-01-31,A00000024,3,4,DOWNGRADE,0.0399041421,151.90609068
2024-01-31,A00000026,3,4,DOWNGRADE,0.0419240262,10473.279996
2024-01-31,A00000028,2,3,DOWNGRADE,0.0253448787,0
2024-01-31,A00000033,1,3,DOWNGRADE,0.0237382052,327.57813396
2024-01-31,A00000035,3,4,DOWNGRADE,0.0543383296,1015.5458049
2024-01-31,A00000036,3,4,DOWNGRADE,0.0452688338,0
2024-01-31,A00000041,6,3,UPGRADE,0.0263949506,190.93489541
2024-01-31,A00000042,6,3,UPGRADE,0.0285603432,167.50384232
2024-01-31,A00000045,4,3,UPGRADE,0.0285603432,1131.9011646
2024-01-31,A00000047,2,3,DOWNGRADE,0.0257643365,468.51202524
2024-01-31,A00000049,4,3,UPGRADE,0.0210954038,0
2024-01-31,A00000050,4,3,UPGRADE,0.0237849006,134.25975821
2024-01-31,A00000052,5,3,UPGRADE,0.0224594788,59.447305785
2024-01-31,A00000053,5,3,UPGRADE,0.0233607518,4233.4629146
2024-01-31,A00000054,5,3,UPGRADE,0.0241690376,103.00994894
2024-01-31,A00000056,2,3,DOWNGRADE,0.0278840567,464.36157843
2024-01-31,A00000057,2,3,DOWNGRADE,0.0189643295,152.02546141
2024-01-31,A00000058,5,4,UPGRADE,0.0468691733,254.05687295
2024-01-31,A00000059,5,4,UPGRADE,0.0444039437,48.342506518
2024-01-31,A00000061,2,4,DOWNGRADE,0.0439844086,155.47487807
