account_id,customer_id,account_type,current_balance,credit_limit,acct_age_months,days_inactive,utilization_pct,customer_segment,region_code,fico_score,vantage_score,bureau_inqs_6mo,bureau_trades_open,bureau_derogs,bureau_util_pct,bureau_oldest_trade_mo,pmt_ontime_12mo,pmt_late_30_12mo,pmt_late_60_12mo,pmt_late_90_12mo,max_days_past_due_ever,months_since_last_dpd,avg_pmt_ratio_12mo,collateral_value,last_appraisal_date,ltv,pd,lgd,ead,expected_loss,new_risk_rating,score_date,model_id,score_timestamp
A00000001,C0000001,CC,880.19,1500,146,89,58.679333333,SMB,MW,518,500,2,13,0,46.32,168,7,5,3,1,91,13,0.6016,,,,0.0690408526,0.75,1190.095,61.623880101,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000004,C0000003,MTG,360901.23,0,88,2,,RET,W,741,733,0,16,0,65.32,6,12,0,0,0,0,,0.9636,592503.16,2023-12-26,0.6091127514,0.0219733836,0.0872902011,360901.23,692.23060088,3,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000005,C0000003,HELC,55331.94,250000,155,74,22.132776,RET,W,741,733,0,16,0,65.32,6,10,2,0,0,91,34,0.7072,87289.34,2021-11-03,0.6338911487,0.0195453689,0.1071129189,152665.97,319.61559937,3,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000008,C0000005,CC,807.31,1500,152,232,53.820666667,SMB,NE,609,614,1,14,0,47.81,325,9,3,0,0,128,13,0.9542,,,,0.0426704927,0.75,1153.655,36.920270479,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000010,C0000005,MTG,518416.04,0,79,308,,SMB,NE,609,614,1,14,0,47.81,325,7,5,0,0,185,24,0.2362,777378.69,2023-10-23,0.6668770918,0.039478771,0.1335016734,518416.04,2732.3024028,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000011,C0000006,CC,2422.58,3000,139,252,80.752666667,PREM,NW,684,678,0,6,0,66.07,164,12,0,0,0,0,,0.8844,,,,0.0311688846,0.75,2711.29,63.380913873,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000012,C0000007,AUTO,7930.09,0,99,13,,RET,SE,560,552,0,22,0,21.23,64,11,1,0,0,185,7,0.7521,19994.88,2020-04-06,0.3966060311,0.0443114486,0,7930.09,0,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000014,C0000009,CC,1709.08,5000,62,60,34.1816,PREM,MW,555,574,5,1,0,64.28,228,12,0,0,0,0,,0.3932,,,,0.0476079501,0.75,3354.54,119.7770798,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000019,C0000012,AUTO,20812.27,0,36,318,,RET,W,556,539,1,13,0,7.27,234,11,1,0,0,128,33,0.924,27569.41,2021-12-08,0.7549044394,0.0481191794,0.2039235515,20812.27,204.2231875,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000021,C0000013,PERS,2068.19,0,104,6,,PREM,SE,702,707,1,24,1,88.91,356,11,1,1,1,31,6,0.7768,,,,0.0372575974,0.5,2068.19,38.527895192,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000023,C0000014,MTG,127409.93,0,183,13,,CORP,NE,646,638,1,18,1,87.93,283,12,0,0,0,0,,0.7746,128497.79,2023-01-03,0.9915340178,0.0349945977,0.3932272143,127409.93,1753.266156,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
A00000024,C0000015,CC,2651.4,7500,98,2,35.352,RET,MW,630,653,0,20,0,14.45,266,12,0,0,0,0,,0.6123,,,,0.0399041421,0.75,5075.7,151.90609068,4,2024-01-31,CRM-2023-Q4-v2,2026-09-18 19:12:04
