account_type,new_risk_rating,n_accounts,lgd,ead,expected_loss,avg_pd,avg_lgd,total_ead,total_el
AUTO,3,13,13,13,13,0.0230584742,0.1804971893,417924.83,1683.7150516
AUTO,4,21,21,21,21,0.0457178558,0.1731841954,750950.99,6495.3683357
CC,3,36,36,36,36,0.0232215642,0.75,266869.67,4782.6442818
CC,4,55,55,55,55,0.0445019801,0.75,342917.81,11979.565375
HELC,3,6,6,6,6,0.0218147117,0.2526129368,626441.565,2902.6865556
HELC,4,8,8,8,8,0.038963623,0.1702103186,939875.33,5764.3264915
LOC,3,6,6,6,6,0.02099775,0.5,196808.105,2247.1176206
LOC,4,10,10,10,10,0.0433692097,0.5,418245.33,9603.4706762
MTG,3,30,30,30,30,0.0226349347,0.1607300114,14208884.92,61640.050404
MTG,4,30,30,30,30,0.0433503955,0.214084854,12254253.37,118689.45943
PERS,3,8,8,8,8,0.0213998642,0.5,272306.94,2957.5598907
PERS,4,13,13,13,13,0.0431677835,0.5,292375.95,6348.0767399
