transaction_id,account_id,transaction_date,running_balance
T000000001,A00000004,2024-01-31,362706.16
T000000002,A00000004,2024-01-31,362694.16
T000000003,A00000004,2024-01-31,362669.16
T000000004,A00000004,2024-01-31,362644.16
T000000005,A00000004,2024-01-31,361462.77
T000000006,A00000004,2024-01-31,361452.82
T000000007,A00000005,2024-01-31,55425.08
T000000008,A00000005,2024-01-31,55390.08
T000000009,A00000005,2024-01-31,55387.08
T000000010,A00000005,2024-01-31,54676.03
T000000011,A00000005,2024-01-31,54049.23
T000000012,A00000005,2024-01-31,53360.24
T000000013,A00000008,2024-01-31,953.21
T000000014,A00000008,2024-01-31,-675.79
T000000015,A00000008,2024-01-31,-3376.24
T000000016,A00000009,2024-01-31,13303.19
T000000017,A00000010,2024-01-31,516511.05
T000000018,A00000010,2024-01-31,515384.23
T000000019,A00000010,2024-01-31,515381.23
T000000020,A00000011,2024-01-31,2412.63
T000000021,A00000013,2024-01-31,3739.86
T000000022,A00000013,2024-01-31,3492.69
T000000023,A00000015,2024-01-31,21754.04
T000000024,A00000016,2024-01-31,15179.96
T000000025,A00000018,2024-01-31,2325.46
T000000026,A00000020,2024-01-31,447.08
T000000027,A00000021,2024-01-31,2056.19
T000000028,A00000021,2024-01-31,2044.19
T000000029,A00000021,2024-01-31,-1010.34
T000000030,A00000022,2024-01-31,18191.64
T000000031,A00000023,2024-01-31,127397.93
T000000032,A00000023,2024-01-31,125696.63
T000000033,A00000023,2024-01-31,125686.68
T000000034,A00000025,2024-01-31,11007.98
T000000035,A00000025,2024-01-31,12745.44
T000000036,A00000026,2024-01-31,787718.6
T000000037,A00000027,2024-01-31,413.26
T000000038,A00000027,2024-01-31,284.28
T000000039,A00000027,2024-01-31,-242.35
T000000040,A00000031,2024-01-31,98508.16
T000000041,A00000031,2024-01-31,98555.45
T000000042,A00000032,2024-01-31,1382.78
T000000043,A00000032,2024-01-31,1419.74
T000000044,A00000033,2024-01-31,40493.45
T000000045,A00000033,2024-01-31,40490.45
T000000046,A00000033,2024-01-31,40478.45
T000000047,A00000034,2024-01-31,152012.15
T000000048,A00000034,2024-01-31,151871.71
T000000049,A00000034,2024-01-31,151878.86
T000000050,A00000035,2024-01-31,31251.36
T000000051,A00000035,2024-01-31,30838.45
T000000052,A00000035,2024-01-31,30469.64
T000000053,A00000036,2024-01-31,312105.29
T000000054,A00000037,2024-01-31,3823.21
T000000055,A00000039,2024-01-31,2446.27
T000000056,A00000039,2024-01-31,2490.02
T000000057,A00000039,2024-01-31,2478.02
T000000058,A00000040,2024-01-31,13043.96
T000000059,A00000040,2024-01-31,13018.72
T000000060,A00000040,2024-01-31,13158.11
T000000061,A00000042,2024-01-31,3967.95
T000000062,A00000042,2024-01-31,3887.41
T000000063,A00000043,2024-01-31,1211.65
T000000064,A00000044,2024-01-31,210170.05
T000000065,A00000044,2024-01-31,212348.47
T000000066,A00000046,2024-01-31,5490.98
T000000067,A00000047,2024-01-31,132108.77
T000000068,A00000048,2024-01-31,1263.1
T000000069,A00000048,2024-01-31,1250.82
T000000070,A00000049,2024-01-31,540820.18
T000000071,A00000052,2024-01-31,31848.81
T000000072,A00000052,2024-01-31,31836.81
T000000073,A00000052,2024-01-31,31306.52
T000000074,A00000053,2024-01-31,492345.56
T000000075,A00000053,2024-01-31,492342.56
