transaction_id,account_id,transaction_type,channel,merchant_category,description,currency_code,transaction_date,transaction_amount,post_date,account_type,customer_id,customer_segment,region_code,branch_id,pre_txn_balance,post_txn_balance,risk_rating,running_balance,avg_txn_amt,std_txn_amt,z_score,anomaly_type
T000000014,A00000008,PMT,ATM,0000,PMT WIRE REF708145,USD,2024-01-31,1629,2024-01-31,CC,C0000005,SMB,NE,B033,807.31,-821.69,1,-675.79,421.85085106,594.64086945,2.0300473966,OVERDRAFT
T000000015,A00000008,WDR,WIRE,5812,INT ACH REF856473,USD,2024-01-31,2700.45,2024-01-31,CC,C0000005,SMB,NE,B033,807.31,-1893.14,1,-3376.24,421.85085106,594.64086945,3.8318912574,HIGH_AMOUNT
T000000029,A00000021,PMT,ACH,5912,PMT ACH REF880813,USD,2024-01-31,3054.53,2024-01-31,PERS,C0000013,PREM,SE,B044,2068.19,-986.34,5,-1010.34,838.65394737,1110.9661192,1.9945487214,OVERDRAFT
T000000035,A00000025,DEP,POS,5812,DEP ONLINE REF506127,USD,2024-01-31,1737.46,2024-01-31,IRA,C0000015,RET,MW,B014,11042.98,12780.44,3,12745.44,97.514888889,145.19266929,11.294958066,HIGH_AMOUNT
T000000039,A00000027,WDR,POS,4900,WDR WIRE REF664483,USD,2024-01-31,526.63,2024-01-31,CHK,C0000016,RET,W,B035,511.59,-15.04,2,-242.35,109.33510638,141.1663348,2.9560510599,OVERDRAFT
T000000065,A00000044,DEP,BRANCH,6011,DEP MOBILE REF199798,USD,2024-01-31,2178.42,2024-01-31,IRA,C0000024,RET,W,B019,210152.84,212331.26,6,212348.47,133.45111111,148.18312765,13.800281593,HIGH_AMOUNT
T000000135,A00000093,WDR,POS,5411,WDR ATM REF179343,USD,2024-01-31,2.01,2024-01-31,SAV,C0000051,PB,NE,B038,-247.24,-249.25,3,-249.25,127.87204545,272.80306929,-0.461365943,OVERDRAFT
T000000136,A00000093,DEP,ATM,7011,DEP WIRE REF734819,USD,2024-01-31,161.27,2024-01-31,SAV,C0000051,PB,NE,B038,-247.24,-85.97,3,-87.98,127.87204545,272.80306929,0.1224251422,OVERDRAFT
T000000137,A00000095,WDR,MOBILE,6011,FEE POS REF449118,USD,2024-01-31,6864.74,2024-01-31,CC,C0000052,PB,MW,B026,2259.69,-4605.05,1,-4605.05,454.25384615,589.35964016,10.877036222,HIGH_AMOUNT
T000000151,A00000112,PMT,POS,7011,PMT WIRE REF165939,USD,2024-01-31,879.16,2024-01-31,CC,C0000060,PREM,SW,B039,707.96,-171.2,6,-171.2,494.01361111,554.51747104,0.694561324,OVERDRAFT
T000000152,A00000113,WDR,WIRE,4900,WDR BRANCH REF166994,USD,2024-01-31,1579.25,2024-01-31,CHK,C0000061,RET,SW,B009,12229.89,10650.64,1,10650.64,154.34153846,351.22229257,4.0569989197,HIGH_AMOUNT
T000000183,A00000133,TRF,ONLINE,5541,TRF ONLINE REF526473,USD,2024-01-31,-653.07,2024-01-31,CHK,C0000071,RET,NW,B047,741.69,88.62,2,-551,135.48119048,205.05224492,2.5241801655,OVERDRAFT
T000000184,A00000133,DEP,MOBILE,5411,DEP ACH REF407639,USD,2024-01-31,186.28,2024-02-01,CHK,C0000071,RET,NW,B047,741.69,927.97,2,-364.72,135.48119048,205.05224492,0.2477359345,OVERDRAFT
T000000191,A00000138,WDR,ONLINE,4900,WDR ONLINE REF709577,USD,2024-01-31,649.81,2024-01-31,CD,C0000073,RET,SE,B032,40862.06,40212.25,5,40212.25,107.89230769,160.4461512,3.377567416,HIGH_AMOUNT
T000000194,A00000141,ADJ,MOBILE,6011,ADJ BRANCH REF299048,USD,2024-01-31,191.16,2024-01-31,SAV,C0000075,PREM,MW,B037,-500.69,-309.53,4,-309.53,121.28283019,142.54918968,0.4901968925,OVERDRAFT
T000000200,A00000148,WDR,ONLINE,5912,FEE WIRE REF716606,USD,2024-01-31,1676.93,2024-02-01,CHK,C0000078,RET,W,B017,782.37,-894.56,3,-894.56,515.45848485,1712.2210219,0.6783420483,OVERDRAFT
T000000201,A00000148,TRF,MOBILE,7011,TRF ACH REF342990,USD,2024-01-31,-6.96,2024-01-31,CHK,C0000078,RET,W,B017,782.37,775.41,3,-901.52,515.45848485,1712.2210219,-0.296981802,OVERDRAFT
T000000202,A00000148,DEP,ACH,5812,DEP ONLINE REF452635,USD,2024-01-31,35.89,2024-01-31,CHK,C0000078,RET,W,B017,782.37,818.26,3,-865.63,515.45848485,1712.2210219,-0.280085619,OVERDRAFT
T000000206,A00000154,TRF,ACH,0000,TRF ACH REF746379,USD,2024-01-31,-984.85,2024-02-01,CHK,C0000080,PREM,NW,B042,404.37,-580.48,6,-580.48,254.04452381,364.7642601,2.0035007706,OVERDRAFT
T000000207,A00000154,WDR,WIRE,4900,WDR POS REF188060,USD,2024-01-31,229.12,2024-01-31,CHK,C0000080,PREM,NW,B042,404.37,175.25,6,-809.6,254.04452381,364.7642601,-0.068330499,OVERDRAFT
T000000208,A00000154,TRF,BRANCH,6011,TRF BRANCH REF489005,USD,2024-01-31,1.04,2024-01-31,CHK,C0000080,PREM,NW,B042,404.37,405.41,6,-808.56,254.04452381,364.7642601,-0.693611056,OVERDRAFT
T000000213,A00000159,DEP,POS,5912,DEP POS REF785144,USD,2024-01-31,29.05,2024-01-31,SAV,C0000082,RET,MW,B007,-1812.97,-1783.92,1,-1783.92,148.07244898,200.89953032,-0.592447622,OVERDRAFT
T000000214,A00000159,TRF,ATM,6011,TRF MOBILE REF679506,USD,2024-01-31,376.31,2024-01-31,SAV,C0000082,RET,MW,B007,-1812.97,-1436.66,1,-1407.61,148.07244898,200.89953032,1.1360780718,OVERDRAFT
T000000215,A00000159,WDR,WIRE,0000,WDR ACH REF876782,USD,2024-01-31,83.1,2024-01-31,SAV,C0000082,RET,MW,B007,-1812.97,-1896.07,1,-1490.71,148.07244898,200.89953032,-0.32340767,OVERDRAFT
T000000235,A00000182,WDR,BRANCH,6011,WDR ATM REF626144,USD,2024-01-31,1467.46,2024-01-31,MMA,C0000095,RET,W,B030,107085.87,105618.41,1,105618.41,126.97809524,159.19803901,8.4202161853,HIGH_AMOUNT
T000000238,A00000183,WDR,POS,0000,WDR ATM REF175239,USD,2024-01-31,532.91,2024-01-31,CHK,C0000096,PREM,SE,B031,668.96,136.05,3,136.05,105.2627451,119.72285877,3.5719766408,HIGH_AMOUNT
T000000246,A00000188,WDR,ACH,7011,CHG POS REF999713,USD,2024-01-31,1747106.49,2024-01-31,MTG,C0000098,PREM,W,B003,766914.3,-980192.19,3,-980192.19,803.64725,1084.1541239,1610.7514645,HIGH_AMOUNT
T000000268,A00000211,WDR,BRANCH,4900,WDR ACH REF271686,USD,2024-01-31,1744.35,2024-01-31,CHK,C0000110,RET,MW,B018,575.05,-1169.3,2,-1169.3,106.20625,142.89375008,11.464068576,HIGH_AMOUNT
T000000269,A00000211,WDR,ATM,7011,WDR WIRE REF870491,USD,2024-01-31,509.51,2024-01-31,CHK,C0000110,RET,MW,B018,575.05,65.54,2,-1678.81,106.20625,142.89375008,2.8224030077,OVERDRAFT
T000000270,A00000211,WDR,ATM,0000,WDR ONLINE REF258087,USD,2024-01-31,427.38,2024-01-31,CHK,C0000110,RET,MW,B018,575.05,147.67,2,-2106.19,106.20625,142.89375008,2.247640291,OVERDRAFT
T000000316,A00000244,WDR,ONLINE,6011,INT ATM REF309655,USD,2024-01-31,107919.49,2024-02-01,LOC,C0000128,RET,NW,B030,37736.53,-70182.96,3,-69349.32,465.88757576,569.96775271,188.52575767,HIGH_AMOUNT
T000000323,A00000249,WDR,ONLINE,5411,WDR MOBILE REF433894,USD,2024-01-31,132.66,2024-01-31,SAV,C0000131,SMB,NW,B044,-668.58,-801.24,3,-801.24,125.48555556,139.36966724,0.0514778042,OVERDRAFT
T000000342,A00000264,DEP,ATM,7011,DEP BRANCH REF180598,USD,2024-01-31,150.8,2024-02-01,SAV,C0000137,PREM,NW,B021,-1550.66,-1399.86,6,-1399.86,178.84784314,291.87862979,-0.096094199,OVERDRAFT
T000000344,A00000266,PMT,ACH,5541,PMT BRANCH REF637364,USD,2024-01-31,940.83,2024-01-31,CC,C0000138,RET,W,B031,145.45,-795.38,4,-795.38,441.50914894,558.6276818,0.89383478,OVERDRAFT
T000000345,A00000266,PMT,BRANCH,0000,PMT MOBILE REF953152,USD,2024-01-31,264.32,2024-01-31,CC,C0000138,RET,W,B031,145.45,-118.87,4,-1059.7,441.50914894,558.6276818,-0.317186482,OVERDRAFT
T000000346,A00000266,WDR,WIRE,5541,INT MOBILE REF352785,USD,2024-01-31,801.83,2024-01-31,CC,C0000138,RET,W,B031,145.45,-656.38,4,-1861.53,441.50914894,558.6276818,0.645010734,OVERDRAFT
T000000363,A00000282,REV,ACH,6011,REV ACH REF821265,USD,2024-01-31,951.36,2024-01-31,SAV,C0000146,RET,SE,B031,45287.1,46238.46,3,46238.46,103.37344828,111.40569009,7.6116987475,HIGH_AMOUNT
T000000368,A00000283,WDR,ATM,5812,WDR ONLINE REF330037,USD,2024-01-31,890.77,2024-01-31,CHK,C0000146,RET,SE,B037,5185.67,4294.9,3,4584.53,154.32214286,232.39545663,3.1689425767,HIGH_AMOUNT
T000000387,A00000301,PMT,WIRE,7011,PMT WIRE REF530392,USD,2024-01-31,1620.86,2024-01-31,CC,C0000156,PREM,W,B018,1133.34,-487.52,2,-522.52,439.85282051,578.63860927,2.0410099855,OVERDRAFT
T000000388,A00000301,FEE,WIRE,4900,FEE ONLINE REF677393,USD,2024-01-31,3,2024-01-31,CC,C0000156,PREM,W,B018,1133.34,1130.34,2,-525.52,439.85282051,578.63860927,-0.754966595,OVERDRAFT
T000000418,A00000320,DEP,MOBILE,7011,DEP MOBILE REF683005,USD,2024-01-31,1890.88,2024-01-31,CHK,C0000165,SMB,W,B019,7069.05,8959.93,4,8657.72,198.5309434,334.82360274,5.0544496946,HIGH_AMOUNT
