REPORT_MONTH,ACCOUNT_TYPE,CUSTOMER_SEGMENT,RISK_WEIGHT,N_ACCOUNTS,TOTAL_EXPOSURE,RWA
202401,AUTO,PB,0.75,4,119190.06,89392.545
202401,AUTO,PREM,0.75,3,130415.49,97811.6175
202401,AUTO,RET,0.75,21,637965.81,478474.3575
202401,AUTO,SMB,0.75,6,281304.46,210978.345
202401,CC,COMM,0.75,2,14287.74,10715.805
202401,CC,CORP,0.75,3,3691.61,2768.7075
202401,CC,PB,0.75,10,46609.8,34957.35
202401,CC,PREM,0.75,17,71803.77,53852.8275
202401,CC,RET,0.75,47,195671.05,146753.2875
202401,CC,SMB,0.75,12,48510.99,36383.2425
202401,CD,COMM,0,2,203686.73,0
202401,CD,CORP,0,2,16899.95,0
202401,CD,PB,0,1,38013.84,0
202401,CD,PREM,0,5,740975.26,0
202401,CD,RET,0,11,865515.71,0
202401,CD,SMB,0,3,145041.87,0
202401,CHK,COMM,0,1,15339.03,0
202401,CHK,CORP,0,4,51020.78,0
202401,CHK,PB,0,6,43421.01,0
202401,CHK,PREM,0,17,61476.85,0
202401,CHK,RET,0,62,1792629.01,0
202401,CHK,SMB,0,11,93070.73,0
202401,HELC,COMM,0.5,1,40979.73,20489.865
202401,HELC,PB,0.5,2,306863.98,153431.99
202401,HELC,PREM,0.5,3,74298.56,37149.28
202401,HELC,RET,0.5,8,385491.52,192745.76
202401,IRA,PREM,1,4,405654.75,405654.75
202401,IRA,RET,1,13,670454.11,670454.11
202401,IRA,SMB,1,1,21945.01,21945.01
202401,LOC,COMM,1,1,30055.02,30055.02
202401,LOC,CORP,1,2,125194.66,125194.66
202401,LOC,PB,1,1,10717.83,10717.83
202401,LOC,PREM,1,2,20670.13,20670.13
202401,LOC,RET,1,10,163469.23,163469.23
202401,MMA,PB,0,2,28849.15,0
202401,MMA,PREM,0,5,278790.87,0
202401,MMA,RET,0,12,1222733.64,0
202401,MMA,SMB,0,1,152495.62,0
202401,MTG,COMM,0.5,1,531992.02,265996.01
202401,MTG,CORP,0.5,2,502031.23,251015.615
202401,MTG,PB,0.35,4,897199.38,314019.783
202401,MTG,PB,0.5,1,392924.86,196462.43
202401,MTG,PREM,0.35,9,3888287,1360900.45
202401,MTG,PREM,0.5,5,2937282.18,1468641.09
202401,MTG,RET,0.35,19,8963148.3,3137101.905
202401,MTG,RET,0.5,10,4761137.26,2380568.63
202401,MTG,SMB,0.35,8,2999674.98,1049886.243
202401,MTG,SMB,0.5,1,589461.08,294730.54
202401,PERS,CORP,0.75,1,32703.81,24527.8575
202401,PERS,PB,0.75,1,29702.1,22276.575
202401,PERS,PREM,0.75,3,71347.86,53510.895
202401,PERS,RET,0.75,13,317920.76,238440.57
202401,PERS,SMB,0.75,3,113008.36,84756.27
202401,SAV,COMM,0,2,12054.32,0
202401,SAV,CORP,0,2,13781.07,0
202401,SAV,PB,0,5,34372.94,0
202401,SAV,PREM,0,14,51383.06,0
202401,SAV,RET,0,34,820645.97,0
202401,SAV,SMB,0,10,43680.31,0
